,name
0,LG전자 27V790-KA70K
1,이엑스코리아 프리미엄 게이밍 i5 GTX  i5-9400F + 외장형 그래픽카드
2,이엑스코리아 게이밍 5GTX1660Ti i5-9400F + 외장형 그래픽카드
3,청운테크 왕가피씨 BG7 i5-8500 + 외장형 그래픽카드
4,이엑스코리아 프리미엄 게이밍 i5 GTX  i5-9400F + 외장형 그래픽카드
5,LG전자 24V570-GA51K
6,게이밍 조립컴퓨터 배틀그라운드 오버워치 배그 GTX1660Ti 사무용 본체 견적
7,LG전자 27V790-GA51K
8,삼성 LG 초특가 특별할인 사무용 게이밍 컴퓨터
9,한성컴퓨터 TFG AX9466
10,이엑스코리아 게이밍 5GTX1660Ti i5-9400F + 외장형 그래픽카드
11,LG전자 24V570-GR32K
12,대한컴퓨터 게이밍 조립컴퓨터 배틀그라운드 오버워치 배그 RTX2060 사무용 견적
13,배틀그라운드 컴퓨터 1060 옵치 로스트아크 게이밍조립컴퓨터 사무용컴퓨터 오버워치 피파온라인4 베틀그라운드 배그컴
14,삼성전자 DM500A2M-L10
15,프리플로우 GAMING i7 RTX6  i7-8700 + 외장형 그래픽카드
16,삼성전자 DM500T8A-A58
17,이엑스코리아 5RTX2060 i5-9400F + 외장형 그래픽카드
18,LG전자 24V570-LRP1K
19,ASUS PN40 Win10
20,삼성전자 오디세이 DM800V7A-A716A
21,삼성전자 DM500A2L-K11
22,프리플로우 GAMING i5 i5-8400 + 외장형 그래픽카드
23,초이스컴 i5-9400F + 외장형 그래픽카드
24,로스트아크 배틀그라운드 서든어택 오버워치컴퓨터
25,LG전자 27V790-KA70K
26,조립게이밍 사무용 가정용 컴퓨터 배그 오버워치 로스트아크 에이펙스 레전드 롤 피파4 중상옵 지포스 GTX960 GTX1050Ti GTX1060
27,이엑스코리아 게이밍 9KRTX2080Ti i9-9900k + 외장형 그래픽카드
28,디클 A238
29,LG전자 22V270-BZ16K
30,삼성전자 DM500S8A-A38
